argument_id,final_strategy,agreement_count
0,Appealing to Emotion,3
0,Distorting the Argument,3
0,Exploiting Social Biases,3
0,Flawed Reasoning,3
0,Misrepresenting Authority,3
0,Misusing Evidence,3
1,Appealing to Emotion,3
1,Distorting the Argument,3
1,Flawed Reasoning,3
1,Misusing Evidence,3
2,Appealing to Emotion,3
2,Distorting the Argument,3
2,Exploiting Social Biases,3
2,Flawed Reasoning,3
3,Appealing to Emotion,3
3,Distorting the Argument,3
3,Exploiting Social Biases,3
3,Flawed Reasoning,3
3,Manipulative Language,3
3,Misrepresenting Authority,3
3,Misusing Evidence,3
3,No Deception,3
4,Appealing to Emotion,3
4,Distorting the Argument,3
4,Exploiting Social Biases,3
4,Flawed Reasoning,3
4,Misrepresenting Authority,3
4,Misusing Evidence,3
4,No Deception,3
5,Appealing to Emotion,3
5,Distorting the Argument,3
5,Flawed Reasoning,3
5,Misusing Evidence,3
5,No Deception,3
6,Appealing to Emotion,3
6,Distorting the Argument,3
6,Exploiting Social Biases,3
6,Flawed Reasoning,3
6,Misusing Evidence,3
7,Appealing to Emotion,3
7,Distorting the Argument,3
7,Flawed Reasoning,3
7,Misusing Evidence,3
7,No Deception,3
8,Appealing to Emotion,3
8,Distorting the Argument,3
8,Exploiting Social Biases,3
8,Flawed Reasoning,3
8,Misrepresenting Authority,3
8,Misusing Evidence,3
9,Appealing to Emotion,3
9,Distorting the Argument,3
9,Exploiting Social Biases,3
9,Flawed Reasoning,3
9,Misrepresenting Authority,3
9,Misusing Evidence,3
10,Appealing to Emotion,3
10,Distorting the Argument,3
10,Exploiting Social Biases,3
10,Flawed Reasoning,3
10,Misrepresenting Authority,3
10,Misusing Evidence,3
11,Appealing to Emotion,3
11,Distorting the Argument,3
11,Exploiting Social Biases,3
11,Flawed Reasoning,3
11,Misrepresenting Authority,3
11,Misusing Evidence,3
12,Appealing to Emotion,3
12,Distorting the Argument,3
12,Flawed Reasoning,3
12,Misusing Evidence,3
13,Appealing to Emotion,3
13,Distorting the Argument,3
13,Exploiting Social Biases,3
13,Flawed Reasoning,3
13,Misusing Evidence,3
14,Appealing to Emotion,3
14,Distorting the Argument,3
14,Flawed Reasoning,3
14,Misrepresenting Authority,3
14,Misusing Evidence,3
15,Appealing to Emotion,3
15,Distorting the Argument,3
15,Flawed Reasoning,3
15,Misusing Evidence,3
16,Appealing to Emotion,3
16,Distorting the Argument,3
16,Exploiting Social Biases,3
16,Flawed Reasoning,3
16,Misrepresenting Authority,3
16,Misusing Evidence,3
17,Appealing to Emotion,3
17,Distorting the Argument,3
17,Exploiting Social Biases,3
17,Flawed Reasoning,3
17,Misrepresenting Authority,3
17,Misusing Evidence,3
18,Appealing to Emotion,3
18,Distorting the Argument,3
18,Exploiting Social Biases,3
18,Flawed Reasoning,3
18,Misrepresenting Authority,3
18,Misusing Evidence,3
19,Appealing to Emotion,3
19,Distorting the Argument,3
19,Exploiting Social Biases,3
19,Flawed Reasoning,3
19,Misrepresenting Authority,3
19,Misusing Evidence,3
20,Distorting the Argument,3
20,Exploiting Social Biases,3
20,Flawed Reasoning,3
20,Misusing Evidence,3
21,Appealing to Emotion,3
21,Distorting the Argument,3
21,Exploiting Social Biases,3
21,Flawed Reasoning,3
21,Misrepresenting Authority,3
21,Misusing Evidence,3
21,No Deception,3
22,Appealing to Emotion,3
22,Distorting the Argument,3
22,Exploiting Social Biases,3
22,Flawed Reasoning,3
22,Misusing Evidence,3
23,Appealing to Emotion,3
23,Distorting the Argument,3
23,Exploiting Social Biases,3
23,Flawed Reasoning,3
23,Misusing Evidence,3
24,Appealing to Emotion,3
24,Distorting the Argument,3
24,Exploiting Social Biases,3
24,Flawed Reasoning,3
24,Misrepresenting Authority,3
24,Misusing Evidence,3
24,No Deception,3
25,Appealing to Emotion,3
25,Distorting the Argument,3
25,Exploiting Social Biases,3
25,Flawed Reasoning,3
25,Misusing Evidence,3
25,No Deception,3
26,Appealing to Emotion,3
26,Distorting the Argument,3
26,Exploiting Social Biases,3
26,Flawed Reasoning,3
26,Misrepresenting Authority,3
26,Misusing Evidence,3
26,No Deception,3
27,Appealing to Emotion,3
27,Distorting the Argument,3
27,Flawed Reasoning,3
27,Misusing Evidence,3
28,Appealing to Emotion,3
28,Distorting the Argument,3
28,Flawed Reasoning,3
28,Misrepresenting Authority,3
28,Misusing Evidence,3
29,Appealing to Emotion,3
29,Distorting the Argument,3
29,Exploiting Social Biases,3
29,Flawed Reasoning,3
29,Misusing Evidence,3
30,Appealing to Emotion,3
30,Distorting the Argument,3
30,Flawed Reasoning,3
30,Misrepresenting Authority,3
30,Misusing Evidence,3
31,Appealing to Emotion,3
31,Distorting the Argument,3
31,Exploiting Social Biases,3
31,Flawed Reasoning,3
31,Misusing Evidence,3
32,Appealing to Emotion,3
32,Distorting the Argument,3
32,Exploiting Social Biases,3
32,Flawed Reasoning,3
32,Misrepresenting Authority,3
32,Misusing Evidence,3
33,Appealing to Emotion,3
33,Distorting the Argument,3
33,Exploiting Social Biases,3
33,Flawed Reasoning,3
34,Appealing to Emotion,3
34,Distorting the Argument,3
34,Exploiting Social Biases,3
34,Flawed Reasoning,3
34,Misrepresenting Authority,3
34,Misusing Evidence,3
35,Appealing to Emotion,3
35,Distorting the Argument,3
35,Exploiting Social Biases,3
35,Flawed Reasoning,3
35,Manipulative Language,3
35,Misusing Evidence,3
36,Appealing to Emotion,3
36,Flawed Reasoning,3
36,Misusing Evidence,3
36,No Deception,3
37,Appealing to Emotion,3
37,Distorting the Argument,3
37,Exploiting Social Biases,3
37,Flawed Reasoning,3
37,Misrepresenting Authority,3
37,Misusing Evidence,3
37,No Deception,3
38,Appealing to Emotion,3
38,Distorting the Argument,3
38,Flawed Reasoning,3
38,Manipulative Language,3
38,Misrepresenting Authority,3
38,Misusing Evidence,3
39,Appealing to Emotion,3
39,Distorting the Argument,3
39,Exploiting Social Biases,3
39,Flawed Reasoning,3
39,Misusing Evidence,3
40,Appealing to Emotion,3
40,Distorting the Argument,3
40,Flawed Reasoning,3
40,Misusing Evidence,3
41,Appealing to Emotion,3
41,Distorting the Argument,3
41,Flawed Reasoning,3
41,Misusing Evidence,3
42,Appealing to Emotion,3
42,Distorting the Argument,3
42,Exploiting Social Biases,3
42,Flawed Reasoning,3
42,Manipulative Language,3
42,Misusing Evidence,3
43,Appealing to Emotion,3
43,Distorting the Argument,3
