argument_id,version,strategy_count
0,v1,3
0,v2,4
0,v3,3
0,v4,3
0,v5,3
1,v1,3
1,v2,3
1,v3,3
1,v4,3
1,v5,3
2,v1,3
2,v2,2
2,v3,3
2,v4,4
2,v5,4
3,v1,4
3,v2,5
3,v3,3
3,v4,5
3,v5,3
4,v1,4
4,v2,4
4,v3,3
4,v4,4
4,v5,2
5,v1,3
5,v2,4
5,v3,4
5,v4,4
5,v5,3
6,v1,4
6,v2,5
6,v3,3
6,v4,4
6,v5,3
7,v1,3
7,v2,4
7,v3,3
7,v4,3
7,v5,3
8,v1,4
8,v2,4
8,v3,3
8,v4,4
8,v5,3
9,v1,5
9,v2,5
9,v3,4
9,v4,4
9,v5,4
10,v1,2
10,v2,3
10,v3,4
10,v4,2
10,v5,2
11,v1,4
11,v2,5
11,v3,3
11,v4,5
11,v5,4
12,v1,4
12,v2,4
12,v3,3
12,v4,3
12,v5,4
13,v1,3
13,v2,3
13,v3,4
13,v4,3
13,v5,4
14,v1,4
14,v2,3
14,v3,4
14,v4,3
14,v5,4
15,v1,4
15,v2,4
15,v3,4
15,v4,4
15,v5,4
16,v1,4
16,v2,5
16,v3,4
16,v4,4
16,v5,3
17,v1,5
17,v2,5
17,v3,3
17,v4,4
17,v5,3
18,v1,3
18,v2,3
18,v3,4
18,v4,3
18,v5,3
19,v1,3
19,v2,3
19,v3,4
19,v4,6
19,v5,5
20,v1,2
20,v2,3
20,v3,3
20,v4,3
20,v5,2
21,v1,3
21,v2,4
21,v3,3
21,v4,3
21,v5,4
22,v1,4
22,v2,4
22,v3,3
22,v4,5
22,v5,5
23,v1,3
23,v2,4
23,v3,3
23,v4,3
23,v5,3
24,v1,4
24,v2,4
24,v3,4
24,v4,3
24,v5,3
25,v1,4
25,v2,4
25,v3,4
25,v4,3
25,v5,4
26,v1,3
26,v2,4
26,v3,3
26,v4,3
26,v5,3
27,v1,5
27,v2,5
27,v3,3
27,v4,4
27,v5,4
28,v1,5
28,v2,4
28,v3,4
28,v4,4
28,v5,3
29,v1,3
29,v2,2
29,v3,3
29,v4,2
29,v5,2
30,v1,4
30,v2,5
30,v3,4
30,v4,4
30,v5,3
31,v1,5
31,v2,4
31,v3,4
31,v4,5
31,v5,4
32,v1,4
32,v2,5
32,v3,4
32,v4,4
32,v5,4
33,v1,2
33,v2,4
33,v3,3
33,v4,2
33,v5,4
34,v1,3
34,v2,4
34,v3,3
34,v4,4
34,v5,4
35,v1,4
35,v2,3
35,v3,4
35,v4,3
35,v5,3
36,v1,4
36,v2,4
36,v3,2
36,v4,3
36,v5,3
37,v1,2
37,v2,3
37,v3,3
37,v4,2
37,v5,3
38,v1,5
38,v2,6
38,v3,4
38,v4,4
38,v5,4
39,v1,4
39,v2,3
39,v3,3
39,v4,3
39,v5,3
40,v1,4
40,v2,3
40,v3,3
40,v4,3
40,v5,3
41,v1,3
41,v2,5
41,v3,3
41,v4,4
41,v5,3
42,v1,4
42,v2,3
42,v3,4
42,v4,2
42,v5,3
43,v1,4
43,v2,4
43,v3,3
43,v4,3
43,v5,3
44,v1,4
44,v2,3
44,v3,2
44,v4,3
44,v5,3
45,v1,5
45,v2,4
45,v3,3
45,v4,5
45,v5,4
46,v1,3
46,v2,3
46,v3,2
46,v4,2
46,v5,2
47,v1,3
47,v2,4
47,v3,2
47,v4,4
47,v5,4
48,v1,3
48,v2,4
48,v3,3
48,v4,4
48,v5,2
49,v1,4
49,v2,3
49,v3,2
49,v4,3
49,v5,4
50,v1,5
50,v2,4
50,v3,4
50,v4,5
50,v5,4
51,v1,5
51,v2,5
51,v3,4
51,v4,3
51,v5,3
52,v1,3
52,v2,2
52,v3,3
52,v4,3
52,v5,3
53,v1,4
53,v2,4
53,v3,4
53,v4,3
53,v5,3
54,v1,3
54,v2,3
54,v3,3
54,v4,3
54,v5,4
55,v1,3
55,v2,5
55,v3,3
55,v4,4
55,v5,4
56,v1,4
56,v2,4
56,v3,3
56,v4,4
56,v5,5
57,v1,4
57,v2,4
57,v3,3
57,v4,3
57,v5,4
58,v1,4
58,v2,4
58,v3,3
58,v4,5
58,v5,5
59,v1,3
59,v2,3
59,v3,3
59,v4,3
59,v5,3
60,v1,4
60,v2,5
60,v3,3
60,v4,3
60,v5,4
61,v1,4
61,v2,5
61,v3,3
61,v4,5
61,v5,5
62,v1,4
62,v2,3
62,v3,4
62,v4,3
62,v5,4
63,v1,3
63,v2,4
63,v3,2
63,v4,5
63,v5,4
64,v1,5
64,v2,4
64,v3,3
64,v4,3
64,v5,4
65,v1,4
65,v2,4
65,v3,3
65,v4,4
65,v5,3
66,v1,3
66,v2,4
66,v3,2
66,v4,3
66,v5,3
67,v1,5
67,v2,5
67,v3,3
67,v4,2
67,v5,3
68,v1,3
68,v2,4
68,v3,4
68,v4,3
68,v5,2
69,v1,3
69,v2,5
69,v3,2
69,v4,3
69,v5,4
70,v1,4
70,v2,5
70,v3,4
70,v4,4
70,v5,4
71,v1,3
71,v2,3
71,v3,3
71,v4,3
71,v5,3
72,v1,3
72,v2,4
72,v3,3
72,v4,4
72,v5,2
73,v1,3
73,v2,4
73,v3,3
73,v4,4
73,v5,5
74,v1,3
74,v2,3
74,v3,4
74,v4,4
74,v5,3
75,v1,4
75,v2,4
75,v3,3
75,v4,3
75,v5,3
76,v1,4
76,v2,5
76,v3,4
76,v4,4
76,v5,4
77,v1,3
77,v2,5
77,v3,3
77,v4,4
77,v5,3
78,v1,5
78,v2,4
78,v3,4
78,v4,4
78,v5,3
79,v1,3
79,v2,3
79,v3,2
79,v4,5
79,v5,2
80,v1,5
80,v2,5
80,v3,4
80,v4,4
80,v5,4
81,v1,3
81,v2,4
81,v3,4
81,v4,4
81,v5,3
82,v1,3
82,v2,4
82,v3,2
82,v4,4
82,v5,4
83,v1,3
83,v2,4
83,v3,4
83,v4,3
83,v5,3
84,v1,5
84,v2,3
84,v3,3
84,v4,4
84,v5,3
85,v1,5
85,v2,3
85,v3,4
85,v4,4
85,v5,4
86,v1,4
86,v2,5
86,v3,3
86,v4,4
86,v5,4
87,v1,5
87,v2,4
87,v3,3
87,v4,4
87,v5,4
88,v1,3
88,v2,2
88,v3,4
88,v4,3
88,v5,4
89,v1,5
89,v2,5
89,v3,4
89,v4,4
89,v5,5
90,v1,5
90,v2,6
90,v3,4
90,v4,5
90,v5,5
91,v1,4
91,v2,4
91,v3,4
91,v4,4
91,v5,3
92,v1,4
92,v2,3
92,v3,2
92,v4,3
92,v5,3
93,v1,5
93,v2,3
93,v3,4
93,v4,3
93,v5,2
94,v1,4
94,v2,5
94,v3,4
94,v4,5
94,v5,4
95,v1,4
95,v2,5
95,v3,4
95,v4,4
95,v5,4
96,v1,3
96,v2,2
96,v3,3
96,v4,3
96,v5,2
97,v1,4
97,v2,4
97,v3,2
97,v4,3
97,v5,4
98,v1,5
98,v2,4
98,v3,4
98,v4,4
98,v5,4
99,v1,3
99,v2,4
99,v3,2
99,v4,4
99,v5,3
100,v1,5
100,v2,6
100,v3,4
100,v4,6
100,v5,5
101,v1,4
101,v2,6
101,v3,3
101,v4,5
101,v5,4
102,v1,5
102,v2,4
102,v3,4
102,v4,3
102,v5,3
103,v1,4
103,v2,5
103,v3,3
103,v4,4
103,v5,5
104,v1,4
104,v2,3
104,v3,2
104,v4,2
104,v5,4
105,v1,3
105,v2,4
105,v3,4
105,v4,2
105,v5,4
106,v1,3
106,v2,3
106,v3,2
106,v4,3
106,v5,3
107,v1,5
107,v2,3
107,v3,2
107,v4,5
107,v5,3
108,v1,4
108,v2,5
108,v3,3
108,v4,4
108,v5,3
109,v1,5
109,v2,4
109,v3,3
109,v4,4
109,v5,5
110,v1,4
110,v2,6
110,v3,3
110,v4,4
110,v5,3
111,v1,2
111,v2,3
111,v3,4
111,v4,3
111,v5,3
112,v1,3
112,v2,4
112,v3,3
112,v4,2
112,v5,4
113,v1,4
113,v2,3
113,v3,3
113,v4,3
113,v5,3
114,v1,4
114,v2,5
114,v3,4
114,v4,4
114,v5,4
115,v1,2
115,v2,2
115,v3,2
115,v4,2
115,v5,2
116,v1,3
116,v2,3
116,v3,3
116,v4,3
116,v5,4
117,v1,3
117,v2,3
117,v3,4
117,v4,3
117,v5,2
118,v1,4
118,v2,5
118,v3,3
118,v4,4
118,v5,3
119,v1,4
119,v2,5
119,v3,4
119,v4,4
119,v5,3
120,v1,3
120,v2,4
120,v3,3
120,v4,4
120,v5,3
121,v1,4
121,v2,4
121,v3,4
121,v4,4
121,v5,3
122,v1,4
122,v2,5
122,v3,3
122,v4,4
122,v5,3
123,v1,2
123,v2,4
123,v3,4
123,v4,4
123,v5,4
124,v1,4
124,v2,5
124,v3,4
124,v4,3
124,v5,4
125,v1,4
125,v2,4
125,v3,4
125,v4,4
125,v5,4
126,v1,3
126,v2,4
126,v3,4
126,v4,4
126,v5,3
127,v1,4
127,v2,3
127,v3,4
127,v4,4
127,v5,4
128,v1,3
128,v2,3
128,v3,4
128,v4,4
128,v5,4
129,v1,4
129,v2,5
129,v3,3
129,v4,4
129,v5,5
130,v1,4
130,v2,4
130,v3,4
130,v4,3
130,v5,4
131,v1,3
131,v2,3
131,v3,4
131,v4,5
131,v5,3
132,v1,2
132,v2,4
132,v3,3
132,v4,4
132,v5,3
133,v1,3
133,v2,3
133,v3,2
133,v4,3
133,v5,4
134,v1,3
134,v2,2
134,v3,1
134,v4,3
134,v5,3
135,v1,3
135,v2,4
135,v3,4
135,v4,5
135,v5,5
136,v1,4
136,v2,4
136,v3,4
136,v4,4
136,v5,4
137,v1,4
137,v2,4
137,v3,3
137,v4,3
137,v5,4
138,v1,4
138,v2,4
138,v3,4
138,v4,3
138,v5,4
139,v1,4
139,v2,4
139,v3,4
139,v4,5
139,v5,5
140,v1,3
140,v2,4
140,v3,3
140,v4,4
140,v5,4
141,v1,3
141,v2,3
141,v3,3
141,v4,4
141,v5,4
142,v1,4
142,v2,3
142,v3,2
142,v4,3
142,v5,3
143,v1,2
143,v2,4
143,v3,2
143,v4,2
143,v5,2
144,v1,5
144,v2,4
144,v3,3
144,v4,3
144,v5,4
145,v1,4
145,v2,6
145,v3,3
145,v4,5
145,v5,4
146,v1,4
146,v2,4
146,v3,4
146,v4,5
146,v5,4
147,v1,4
147,v2,3
147,v3,3
147,v4,4
147,v5,3
148,v1,4
148,v2,6
148,v3,2
148,v4,5
148,v5,4
149,v1,5
149,v2,5
149,v3,4
149,v4,5
149,v5,3
150,v1,5
150,v2,4
150,v3,4
150,v4,5
150,v5,4
151,v1,5
151,v2,5
151,v3,4
151,v4,4
151,v5,3
152,v1,4
152,v2,4
152,v3,4
152,v4,5
152,v5,4
153,v1,4
153,v2,3
153,v3,4
153,v4,3
153,v5,4
