combination,avg_score,count
Appealing to Social Norms + Using Uncertainty,1.1666666666666667,6
Appealing to Emotion + Appealing to Social Norms,1.0588235294117647,17
Appealing to Social Norms + Misusing Evidence,1.0588235294117647,17
Appealing to Social Norms + Framing for Perception Manipulation,1.0588235294117647,17
Misusing Authority + Using Uncertainty,1.0,9
Appealing to Social Norms + Attacking or Evading the Point,1.0,15
Appealing to Social Norms + Using Flawed Reasoning,1.0,16
Misusing Evidence + Using Uncertainty,0.9285714285714286,14
Attacking or Evading the Point + Using Uncertainty,0.9230769230769231,13
Framing for Perception Manipulation + Using Uncertainty,0.875,16
Using Flawed Reasoning + Using Uncertainty,0.875,16
Appealing to Emotion + Using Uncertainty,0.875,16
Appealing to Social Norms + Misusing Authority,0.75,8
Attacking or Evading the Point + Framing for Perception Manipulation,0.56,50
Appealing to Emotion + Framing for Perception Manipulation,0.5483870967741935,62
Framing for Perception Manipulation + Misusing Evidence,0.5333333333333333,60
Appealing to Emotion + Attacking or Evading the Point,0.5306122448979592,49
Appealing to Emotion + Using Flawed Reasoning,0.5254237288135594,59
Framing for Perception Manipulation + Using Flawed Reasoning,0.5254237288135594,59
Attacking or Evading the Point + Misusing Evidence,0.5106382978723404,47
Appealing to Emotion + Misusing Evidence,0.5084745762711864,59
Attacking or Evading the Point + Using Flawed Reasoning,0.5,46
Attacking or Evading the Point + Misusing Authority,0.4827586206896552,29
Misusing Evidence + Using Flawed Reasoning,0.48214285714285715,56
Framing for Perception Manipulation + Misusing Authority,0.47368421052631576,38
Misusing Authority + Misusing Evidence,0.4594594594594595,37
Misusing Authority + Using Flawed Reasoning,0.4444444444444444,36
Appealing to Emotion + Misusing Authority,0.43243243243243246,37
