argument_id,final_strategy,strategy_count
0,"['Flawed Reasoning' 'Misusing Evidence' 'Distorting the Argument'
 'Exploiting Social Biases' 'Appealing to Emotion' 'Manipulative Language'
 'Misrepresenting Authority']",7
1,"['Misusing Evidence' 'Distorting the Argument' 'Flawed Reasoning'
 'Appealing to Emotion' 'Exploiting Social Biases' 'Manipulative Language']",6
2,"['Flawed Reasoning' 'Distorting the Argument' 'Appealing to Emotion'
 'Exploiting Social Biases' 'Misusing Evidence' 'Manipulative Language'
 'Misrepresenting Authority']",7
3,"['Misusing Evidence' 'Appealing to Emotion' 'Distorting the Argument'
 'Flawed Reasoning' 'Misrepresenting Authority' 'Exploiting Social Biases'
 'Manipulative Language']",7
4,"['Misusing Evidence' 'Distorting the Argument' 'Misrepresenting Authority'
 'Flawed Reasoning' 'Appealing to Emotion' 'Exploiting Social Biases'
 'Manipulative Language']",7
5,"['Appealing to Emotion' 'Misusing Evidence' 'Distorting the Argument'
 'Misrepresenting Authority' 'Flawed Reasoning' 'Exploiting Social Biases'
 'Manipulative Language']",7
6,"['Appealing to Emotion' 'Distorting the Argument' 'Misusing Evidence'
 'Flawed Reasoning' 'Misrepresenting Authority' 'Exploiting Social Biases']",6
7,"['Distorting the Argument' 'Flawed Reasoning' 'Appealing to Emotion'
 'Exploiting Social Biases' 'Misusing Evidence' 'Manipulative Language'
 'Misrepresenting Authority']",7
8,"['Misusing Evidence' 'Distorting the Argument' 'Appealing to Emotion'
 'Misrepresenting Authority' 'Flawed Reasoning' 'Exploiting Social Biases'
 'Manipulative Language']",7
9,"['Flawed Reasoning' 'Misrepresenting Authority' 'Appealing to Emotion'
 'Misusing Evidence' 'Distorting the Argument' 'Exploiting Social Biases'
 'Manipulative Language']",7
10,"['Distorting the Argument' 'Flawed Reasoning' 'Exploiting Social Biases'
 'Appealing to Emotion' 'Misusing Evidence' 'Misrepresenting Authority']",6
11,"['Misusing Evidence' 'Misrepresenting Authority' 'Appealing to Emotion'
 'Distorting the Argument' 'Exploiting Social Biases' 'Flawed Reasoning'
 'Manipulative Language']",7
12,"['Flawed Reasoning' 'Appealing to Emotion' 'Misrepresenting Authority'
 'Distorting the Argument' 'Misusing Evidence' 'Exploiting Social Biases'
 'Manipulative Language']",7
